"id","groups_count","uniq_cities","triggers_words_count","photos_count","max_percent_photos_in_day","posts_count","max_percent_posts_in_day","posts_without_views","societies_flag","group_without_photo_count","bot_flag"
1207,161,11,3,50,50,0,0,0,false,43,true
1208,151,0,2,45,11.1111116,64,3.125,0,false,4,false
1209,363,18,16,682,15.000001,824,4,0,false,61,true
1210,366,25,16,38,7.89473629,64,7.8125,0,false,50,true
1211,335,31,15,819,23.5,209,21,0,false,97,true
1212,227,22,9,3,33.3333359,34,44.1176491,0,false,70,true
1213,441,44,41,33,12.121212,53,5.6603775,1,false,116,true
1214,511,32,13,229,36,204,10,0,false,90,true
1215,1187,11,10,2136,7.50000048,9031,3,0,false,176,true
1216,394,28,25,5,40,9,22.2222233,0,false,99,true
1217,252,20,10,5,40,97,3.09278345,0,false,66,true
1218,150,12,7,0,0,2,50,0,false,49,true
1219,397,19,12,1143,7,5816,4,0,false,47,true
1220,205,12,7,18,22.2222233,12,33.3333359,0,false,44,true
1221,341,11,1,339,19,789,10,0,false,23,true
1222,38,0,2,193,34.7150269,203,11,0,false,9,false
1223,138,0,1,85,21.1764717,241,17,0,false,13,false
1224,2330,132,92,657,32,2349,15.000001,60,true,295,true
1225,496,24,24,9,11.1111116,2143,4,0,false,148,true
1226,412,32,24,0,0,17,11.7647057,0,false,109,true
1227,112,0,4,1,100,1,100,0,false,42,true
1228,185,11,6,205,17.5,465,3,0,false,23,true
1229,210,20,6,212,8.5,247,6,0,false,45,true
1230,226,0,8,43,4.65116262,380,7,0,false,46,true
1231,1738,37,15,797,9.5,1355,3,0,false,146,true
1232,503,21,18,236,29,9641,27.0000019,58,false,69,true
1233,491,15,3,33,9.090909,1282,14,0,false,40,true
1234,173,17,1,14,14.2857151,50,10,0,false,21,true
1235,244,23,7,32,12.5,258,7,0,false,65,true
1236,627,26,15,14,28.5714302,111,8,0,false,60,true
1237,992,63,37,783,38.5,465,14,0,false,231,true
1238,175,0,1,9,11.1111116,0,0,0,false,11,false
1239,181,0,1,297,13.500001,3622,55,0,false,26,true
1240,168,19,5,0,0,0,0,0,false,51,true
1241,135,0,2,7,28.5714302,244,9,0,false,18,false
1242,640,43,40,4,50,4,50,0,false,177,true
1243,273,26,5,6,100,52,51.9230766,0,false,72,true
1244,495,42,34,205,39,307,13,0,false,149,true
1245,352,26,21,72,43.0555534,49,24.4897957,0,false,92,true
1246,186,0,2,14,21.4285717,694,4,0,false,9,false
1247,883,16,2,124,16.9354839,498,5,0,false,50,true
1248,49,0,1,12,16.6666679,9,22.2222233,0,false,10,false
1249,1436,88,75,154,31.1688309,1242,9,0,false,318,true
1250,770,63,42,60,20,11,18.181818,0,false,195,true
1251,641,14,3,21,4.76190472,6,16.6666679,0,true,57,true
1252,169,0,1,172,6.97674465,4032,5,0,false,12,false
1253,261,0,2,1416,44.5,9574,11,2,false,22,false
1254,211,12,12,9,33.3333359,0,0,0,false,67,true
1255,525,12,3,174,11.4942532,1668,6,0,false,51,true
1256,104,0,3,238,6,2381,5,0,false,11,false
1257,206,0,0,163,13.496932,406,4,0,false,21,false
1258,65,0,2,8,100,2,50,0,false,15,true
1259,639,17,6,395,1.5,128,2,0,true,62,true
1260,2901,43,21,321,6,5860,5,0,false,256,true
1261,478,31,9,310,4,1531,8,0,false,95,true
1262,543,0,2,1,100,0,0,0,false,30,true
1263,78,0,1,215,17,7052,15.000001,0,true,6,false
1264,197,0,0,5,20,3848,31,0,false,28,true
1265,2236,96,82,2,50,1,100,0,false,533,true
1266,480,11,8,126,19.8412704,2157,16,0,false,66,true
1267,634,0,4,161,12.4223604,658,3,0,false,44,true
1268,291,0,3,72,9.72222233,13,15.3846159,0,false,48,true
1269,775,31,20,91,4.39560461,948,11,0,true,154,true
1270,102,0,0,165,8.48484898,389,9,0,false,6,false
1271,171,0,0,113,5.30973434,3246,2,0,false,17,false
1272,130,14,7,4,25,59,5.08474541,0,false,32,true
1273,377,23,11,399,17.5,1008,5,0,false,82,true
1274,724,14,3,2,50,2,50,0,false,74,true
1275,820,48,51,55,30.9090919,226,4,25,false,253,true
1276,570,0,0,149,10.0671139,122,15.000001,0,false,64,true
1277,80,0,5,1,100,0,0,0,false,19,false
1278,2495,36,33,0,0,4970,3,0,false,395,true
1279,1402,22,17,1978,36.5,10169,15.000001,0,true,196,true
1280,505,17,9,877,26.4999981,798,12,0,false,39,true
1281,263,24,20,30,93.3333359,21,19.0476189,0,false,51,true
1282,274,0,1,21,4.76190472,5,20,0,false,12,false
1283,1173,19,3,31,12.9032249,3,33.3333359,0,false,88,true
1284,266,0,0,54,18.5185184,187,62,0,false,27,true
1285,251,0,0,92,10.869565,1062,4,0,false,17,false
1286,1318,21,8,22,18.181818,2865,14,0,false,117,true
1287,2840,95,103,3,33.3333359,0,0,0,true,655,true
1288,2111,38,6,61,4.91803265,2482,14,56,false,190,true
1289,198,13,6,223,4.5,1108,4,0,false,57,true
1290,436,11,2,283,16,2213,3,0,false,21,true
1291,436,33,28,18,16.6666679,125,13,0,false,124,true
1292,39,0,1,0,0,1,100,0,false,9,false
1293,208,19,9,43,9.30232525,653,10,0,false,48,true
1294,288,0,3,50,10,70,4.28571463,0,false,33,true
1295,289,0,1,58,8.62068939,856,6,0,false,33,true
1296,510,0,0,2,50,909,4,0,false,26,true
1297,610,0,3,2,50,8,12.5,0,false,41,true
1298,110,0,4,38,23.6842117,937,4,0,false,24,true
1299,168,13,4,8,75,0,0,0,false,55,true
1300,810,59,45,44,40.9090919,314,12,0,false,201,true
1301,793,13,6,547,8,3434,4,0,false,58,true
1302,450,0,3,224,29,393,12,0,false,54,true
1303,238,21,9,6,33.3333359,5,20,0,false,72,true
1304,409,0,3,43,6.97674465,4041,6,0,false,26,true
1305,235,0,2,555,34.5,833,10,0,false,11,false
1306,1404,16,11,30,20,10,20,1,true,145,true
1307,75,0,5,31,9.67741871,34,8.82352924,0,false,30,true
1308,2598,42,42,155,4.51612902,12,8.33333397,0,false,431,true
1309,674,50,45,11,27.272728,129,6,0,false,193,true
1310,399,0,0,152,13.1578951,608,4,0,false,43,true
1311,179,0,0,124,4.83870935,80,3.75000024,0,false,11,false
1312,365,20,12,194,14.9484529,92,11.956522,0,false,93,true
1313,1230,66,54,54,25.9259262,787,3,0,true,299,true
1314,263,0,2,122,8.19672108,488,7,0,false,18,false
1315,620,17,3,41,9.75609684,10,10,0,true,54,true
1316,236,25,7,2,100,4,25,0,false,69,true
1317,763,19,7,174,10.9195404,3220,7,0,true,85,true
1318,147,0,6,291,51,206,5,0,false,22,false
1319,412,0,0,521,5.5,1351,3,0,false,38,true
1320,1898,28,14,9,11.1111116,17196,30.0000019,0,false,201,true
1321,120,0,4,0,0,17,94.1176453,11,false,42,true
1322,1024,12,12,777,17.5,3175,6,0,false,114,true
1323,1573,73,77,31,9.67741871,1956,29,0,false,380,true
1324,357,0,3,405,7.50000048,6661,4,32,false,36,true
1325,138,0,0,322,6.5,2349,4,0,false,10,false
1326,1562,91,95,182,7.69230795,1147,6,0,false,344,true
1327,240,11,3,147,6.8027215,542,5,0,false,26,true
1328,952,23,3,413,3,1778,6,0,false,77,true
